   , aggregates ,,, mortgage ,,,,, p&i ,,,, services , tax , insure , total ,, INCLUSIVE 
, market , principal , equity , start , yrs , end , left ,rate, new , current , yearly ,, year , year , year , year ,,
 portland ," $ 950,000 "," $ 264,655 "," $ 685,345 ",11/1/2020,30,10/25/2050,24.6,2.750%," $ 1,235 "," $ 1,235 "," $ 14,820 ",," $ 16,086 "," $ 14,968 "," $ 1,039 "," $ 32,093 ",," $ 46,913 "
 orcas ," $ 2,000,000 "," $ 449,764 "," $ 1,550,236 ",5/1/2020,30,4/24/2050,24.1,3.125%," $ 2,216 "," $ 2,186 "," $ 26,232 ",," $ 10,040 "," $ 12,038 "," $ 1,016 "," $ 23,094 ",," $ 49,326 "
 totals ," $ 2,950,000 "," $ 714,419 "," $ 2,235,581 ",,,,,," $ 3,451 "," $ 3,421 "," $ 41,052 ",," $ 26,126 "," $ 27,006 "," $ 2,055 "," $ 55,187 ",," $ 96,239 "
,,,,,,,,,,,,,,,,,,
SERVICES DETAIL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ORCAS,weekly,monthly,yearly,NOTES,,,,,,,,,,,,,,
internet, $ 28 , $ 120 ," $ 1,440 ",starlink,,,,,,,,,,total,,,,
HOA, $ 52 , $ 225 ," $ 2,700 ",SHWSOA (2025 assessment),,,,,,,,,,monthly,yearly,,,
electricity, $ 46 , $ 200 ," $ 2,400 ",varies seasonally,,,,,,,,,,"$13,618"," $ 163,417 ",,,
water, $ 5 , $ 21 , $ 250 ,"well, storage, plumbing service only",,,,,,,,,,,,,,
cleaning, $ 19 , $ 83 ," $ 1,000 ",,,,,,,,,,,,,,,
septic, $ 5 , $ 21 , $ 250 ,service only,,,,,,,,,,,,,,
pest control, $ 12 , $ 50 , $ 600 ,$150/quarter,,,,,,,,,,,,,,
landscape, $ 19 , $ 83 ," $ 1,000 ",yearly mulch,,,,,,,,,,,,,,
propane, $ 8 , $ 33 , $ 400 ,,,,,,,,,,,,,,,
TOTAL, $ 193 , $ 837 ," $ 10,040 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, ,,
,,,,,,, ,,,,,,,,,,,
PDX,weekly,monthly,yearly,NOTES,,,,,,,,,,,,,,
internet, $ 15 , $ 65 , $ 780 ,century link - quantum,,,,,,,,,,,,,,
garbage, $ 20 , $ 87 ," $ 1,044 ",rose city,,,,,,,,,,,,,,
cleaning, $ 115 , $ 500 ," $ 6,000 ",$140 every other week,,,,,,,,,,,,,,
sewage, $ 7 , $ 30 , $ 360 ,,,,,,,,,,,,,,,
electricity, $ 46 , $ 200 ," $ 2,400 ",varies seasonally,,,,,,,,,,,,,,
water, $ 9 , $ 38 , $ 456 ,,,,,,,,,,,,,,,
gas, $ 9 , $ 38 , $ 456 ,,,,,,,,,,,,,,,
gardening, $ 88 , $ 383 ," $ 4,590 ",$170 every other week,,,,,,,,,,,,,,
landscape, $ -   , $ -   , $ -   ,,,,,,,,,,,,,,,
TOTAL, $ 308 ," $ 1,341 "," $ 16,086 ",,,,,,,,,,,,,,,
